car_ID,price,fueltype,aspiration,doornumber,enginelocation,drivewheel,cylindernumber,enginetype,fuelsystem,carbody,CarName,symboling,carwidth,carheight,wheelbase,carlength,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
64,10795,diesel,std,four,front,fwd,four,ohc,idi,sedan,mazda glc deluxe,0,66.5,55.5,98.8,177.8,2443,122,3.39,3.39,22.7,64,4650,36,42
65,11245,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,mazda 626,0,66.5,55.5,98.8,177.8,2425,122,3.39,3.39,8.6,84,4800,26,32
66,18280,gas,std,four,front,rwd,four,ohc,mpfi,sedan,mazda glc,0,66.1,54.4,104.9,175,2670,140,3.76,3.16,8,120,5000,19,27
67,18344,diesel,std,four,front,rwd,four,ohc,idi,sedan,mazda rx-7 gs,0,66.1,54.4,104.9,175,2700,134,3.43,3.64,22,72,4200,31,39
68,25552,diesel,turbo,four,front,rwd,five,ohc,idi,sedan,buick electra 225 custom,-1,70.3,56.5,110,190.9,3515,183,3.58,3.64,21.5,123,4350,22,25
69,28248,diesel,turbo,four,front,rwd,five,ohc,idi,wagon,buick century luxus (sw),-1,70.3,58.7,110,190.9,3750,183,3.58,3.64,21.5,123,4350,22,25
70,28176,diesel,turbo,two,front,rwd,five,ohc,idi,hardtop,buick century,0,70.3,54.9,106.7,187.5,3495,183,3.58,3.64,21.5,123,4350,22,25
71,31600,diesel,turbo,four,front,rwd,five,ohc,idi,sedan,buick skyhawk,-1,71.7,56.3,115.6,202.6,3770,183,3.58,3.64,21.5,123,4350,22,25
72,34184,gas,std,four,front,rwd,eight,ohcv,mpfi,sedan,buick opel isuzu deluxe,-1,71.7,56.5,115.6,202.6,3740,234,3.46,3.1,8.3,155,4750,16,18
73,35056,gas,std,two,front,rwd,eight,ohcv,mpfi,convertible,buick skylark,3,70.5,50.8,96.6,180.3,3685,234,3.46,3.1,8.3,155,4750,16,18
74,40960,gas,std,four,front,rwd,eight,ohcv,mpfi,sedan,buick century special,0,71.7,56.7,120.9,208.1,3900,308,3.8,3.35,8,184,4500,14,16
75,45400,gas,std,two,front,rwd,eight,ohcv,mpfi,hardtop,buick regal sport coupe (turbo),1,72,55.4,112,199.2,3715,304,3.8,3.35,8,184,4500,14,16
76,16503,gas,turbo,two,front,rwd,four,ohc,mpfi,hatchback,mercury cougar,1,68,54.8,102.7,178.4,2910,140,3.78,3.12,8,175,5000,19,24
77,5389,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,mitsubishi mirage,2,64.4,50.8,93.7,157.3,1918,92,2.97,3.23,9.4,68,5500,37,41
78,6189,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,mitsubishi lancer,2,64.4,50.8,93.7,157.3,1944,92,2.97,3.23,9.4,68,5500,31,38
79,6669,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,mitsubishi outlander,2,64.4,50.8,93.7,157.3,2004,92,2.97,3.23,9.4,68,5500,31,38
80,7689,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,mitsubishi g4,1,63.8,50.8,93,157.3,2145,98,3.03,3.39,7.6,102,5500,24,30
81,9959,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,mitsubishi mirage g4,3,65.4,49.4,96.3,173,2370,110,3.17,3.46,7.5,116,5500,23,30
82,8499,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,mitsubishi g4,3,65.4,49.4,96.3,173,2328,122,3.35,3.46,8.5,88,5000,25,32
83,12629,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,mitsubishi outlander,3,66.3,50.2,95.9,173.2,2833,156,3.58,3.86,7,145,5000,19,24
84,14869,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,mitsubishi g4,3,66.3,50.2,95.9,173.2,2921,156,3.59,3.86,7,145,5000,19,24
85,14489,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,mitsubishi mirage g4,3,66.3,50.2,95.9,173.2,2926,156,3.59,3.86,7,145,5000,19,24
86,6989,gas,std,four,front,fwd,four,ohc,2bbl,sedan,mitsubishi montero,1,65.4,51.6,96.3,172.4,2365,122,3.35,3.46,8.5,88,5000,25,32
87,8189,gas,std,four,front,fwd,four,ohc,2bbl,sedan,mitsubishi pajero,1,65.4,51.6,96.3,172.4,2405,122,3.35,3.46,8.5,88,5000,25,32
88,9279,gas,turbo,four,front,fwd,four,ohc,spdi,sedan,mitsubishi outlander,1,65.4,51.6,96.3,172.4,2403,110,3.17,3.46,7.5,116,5500,23,30
89,9279,gas,std,four,front,fwd,four,ohc,spdi,sedan,mitsubishi mirage g4,-1,65.4,51.6,96.3,172.4,2403,110,3.17,3.46,7.5,116,5500,23,30
90,5499,gas,std,two,front,fwd,four,ohc,2bbl,sedan,Nissan versa,1,63.8,54.5,94.5,165.3,1889,97,3.15,3.29,9.4,69,5200,31,37
91,7099,diesel,std,two,front,fwd,four,ohc,idi,sedan,nissan gt-r,1,63.8,54.5,94.5,165.3,2017,103,2.99,3.47,21.9,55,4800,45,50
92,6649,gas,std,two,front,fwd,four,ohc,2bbl,sedan,nissan rogue,1,63.8,54.5,94.5,165.3,1918,97,3.15,3.29,9.4,69,5200,31,37
93,6849,gas,std,four,front,fwd,four,ohc,2bbl,sedan,nissan latio,1,63.8,54.5,94.5,165.3,1938,97,3.15,3.29,9.4,69,5200,31,37
94,7349,gas,std,four,front,fwd,four,ohc,2bbl,wagon,nissan titan,1,63.8,53.5,94.5,170.2,2024,97,3.15,3.29,9.4,69,5200,31,37
95,7299,gas,std,two,front,fwd,four,ohc,2bbl,sedan,nissan leaf,1,63.8,54.5,94.5,165.3,1951,97,3.15,3.29,9.4,69,5200,31,37
96,7799,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,nissan juke,1,63.8,53.3,94.5,165.6,2028,97,3.15,3.29,9.4,69,5200,31,37
97,7499,gas,std,four,front,fwd,four,ohc,2bbl,sedan,nissan latio,1,63.8,54.5,94.5,165.3,1971,97,3.15,3.29,9.4,69,5200,31,37
98,7999,gas,std,four,front,fwd,four,ohc,2bbl,wagon,nissan note,1,63.8,53.5,94.5,170.2,2037,97,3.15,3.29,9.4,69,5200,31,37
99,8249,gas,std,two,front,fwd,four,ohc,2bbl,hardtop,nissan clipper,2,63.8,53.3,95.1,162.4,2008,97,3.15,3.29,9.4,69,5200,31,37
100,8949,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,nissan rogue,0,65.2,54.7,97.2,173.4,2324,120,3.33,3.47,8.5,97,5200,27,34
101,9549,gas,std,four,front,fwd,four,ohc,2bbl,sedan,nissan nv200,0,65.2,54.7,97.2,173.4,2302,120,3.33,3.47,8.5,97,5200,27,34
102,13499,gas,std,four,front,fwd,six,ohcv,mpfi,sedan,nissan dayz,0,66.5,55.1,100.4,181.7,3095,181,3.43,3.27,9,152,5200,17,22
103,14399,gas,std,four,front,fwd,six,ohcv,mpfi,wagon,nissan fuga,0,66.5,56.1,100.4,184.6,3296,181,3.43,3.27,9,152,5200,17,22
104,13499,gas,std,four,front,fwd,six,ohcv,mpfi,sedan,nissan otti,0,66.5,55.1,100.4,184.6,3060,181,3.43,3.27,9,152,5200,19,25
105,17199,gas,std,two,front,rwd,six,ohcv,mpfi,hatchback,nissan teana,3,67.9,49.7,91.3,170.7,3071,181,3.43,3.27,9,160,5200,19,25
106,19699,gas,turbo,two,front,rwd,six,ohcv,mpfi,hatchback,nissan kicks,3,67.9,49.7,91.3,170.7,3139,181,3.43,3.27,7.8,200,5200,17,23
107,18399,gas,std,two,front,rwd,six,ohcv,mpfi,hatchback,nissan clipper,1,67.9,49.7,99.2,178.5,3139,181,3.43,3.27,9,160,5200,19,25
108,11900,gas,std,four,front,rwd,four,l,mpfi,sedan,peugeot 504,0,68.4,56.7,107.9,186.7,3020,120,3.46,3.19,8.4,97,5000,19,24
109,13200,diesel,turbo,four,front,rwd,four,l,idi,sedan,peugeot 304,0,68.4,56.7,107.9,186.7,3197,152,3.7,3.52,21,95,4150,28,33
110,12440,gas,std,four,front,rwd,four,l,mpfi,wagon,peugeot 504 (sw),0,68.4,58.7,114.2,198.9,3230,120,3.46,3.19,8.4,97,5000,19,24
111,13860,diesel,turbo,four,front,rwd,four,l,idi,wagon,peugeot 504,0,68.4,58.7,114.2,198.9,3430,152,3.7,3.52,21,95,4150,25,25
112,15580,gas,std,four,front,rwd,four,l,mpfi,sedan,peugeot 504,0,68.4,56.7,107.9,186.7,3075,120,3.46,2.19,8.4,95,5000,19,24
113,16900,diesel,turbo,four,front,rwd,four,l,idi,sedan,peugeot 604sl,0,68.4,56.7,107.9,186.7,3252,152,3.7,3.52,21,95,4150,28,33
114,16695,gas,std,four,front,rwd,four,l,mpfi,wagon,peugeot 504,0,68.4,56.7,114.2,198.9,3285,120,3.46,2.19,8.4,95,5000,19,24
115,17075,diesel,turbo,four,front,rwd,four,l,idi,wagon,peugeot 505s turbo diesel,0,68.4,58.7,114.2,198.9,3485,152,3.7,3.52,21,95,4150,25,25
116,16630,gas,std,four,front,rwd,four,l,mpfi,sedan,peugeot 504,0,68.4,56.7,107.9,186.7,3075,120,3.46,3.19,8.4,97,5000,19,24
117,17950,diesel,turbo,four,front,rwd,four,l,idi,sedan,peugeot 504,0,68.4,56.7,107.9,186.7,3252,152,3.7,3.52,21,95,4150,28,33
118,18150,gas,turbo,four,front,rwd,four,l,mpfi,sedan,peugeot 604sl,0,68.3,56,108,186.7,3130,134,3.61,3.21,7,142,5600,18,24
119,5572,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,plymouth fury iii,1,63.8,50.8,93.7,157.3,1918,90,2.97,3.23,9.4,68,5500,37,41
120,7957,gas,turbo,two,front,fwd,four,ohc,spdi,hatchback,plymouth cricket,1,63.8,50.8,93.7,157.3,2128,98,3.03,3.39,7.6,102,5500,24,30
121,6229,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,plymouth fury iii,1,63.8,50.6,93.7,157.3,1967,90,2.97,3.23,9.4,68,5500,31,38
122,6692,gas,std,four,front,fwd,four,ohc,2bbl,sedan,plymouth satellite custom (sw),1,63.8,50.8,93.7,167.3,1989,90,2.97,3.23,9.4,68,5500,31,38
123,7609,gas,std,four,front,fwd,four,ohc,2bbl,sedan,plymouth fury gran sedan,1,63.8,50.8,93.7,167.3,2191,98,2.97,3.23,9.4,68,5500,31,38
124,8921,gas,std,four,front,fwd,four,ohc,2bbl,wagon,plymouth valiant,-1,64.6,59.8,103.3,174.6,2535,122,3.35,3.46,8.5,88,5000,24,30
125,12764,gas,turbo,two,front,rwd,four,ohc,spdi,hatchback,plymouth duster,3,66.3,50.2,95.9,173.2,2818,156,3.59,3.86,7,145,5000,19,24
126,22018,gas,std,two,front,rwd,four,ohc,mpfi,hatchback,porsche macan,3,68.3,50.2,94.5,168.9,2778,151,3.94,3.11,9.5,143,5500,19,27
127,32528,gas,std,two,rear,rwd,six,ohcf,mpfi,hardtop,porcshce panamera,3,65,51.6,89.5,168.9,2756,194,3.74,2.9,9.5,207,5900,17,25
128,34028,gas,std,two,rear,rwd,six,ohcf,mpfi,hardtop,porsche cayenne,3,65,51.6,89.5,168.9,2756,194,3.74,2.9,9.5,207,5900,17,25
129,37028,gas,std,two,rear,rwd,six,ohcf,mpfi,convertible,porsche boxter,3,65,51.6,89.5,168.9,2800,194,3.74,2.9,9.5,207,5900,17,25
130,31400.5,gas,std,two,front,rwd,eight,dohcv,mpfi,hatchback,porsche cayenne,1,72.3,50.5,98.4,175.7,3366,203,3.94,3.11,10,288,5750,17,28
131,9295,gas,std,four,front,fwd,four,ohc,mpfi,wagon,renault 12tl,0,66.5,55.2,96.1,181.5,2579,132,3.46,3.9,8.7,90,5100,23,31
132,9895,gas,std,two,front,fwd,four,ohc,mpfi,hatchback,renault 5 gtl,2,66.6,50.5,96.1,176.8,2460,132,3.46,3.9,8.7,90,5100,23,31
133,11850,gas,std,two,front,fwd,four,ohc,mpfi,hatchback,saab 99e,3,66.5,56.1,99.1,186.6,2658,121,3.54,3.07,9.31,110,5250,21,28
134,12170,gas,std,four,front,fwd,four,ohc,mpfi,sedan,saab 99le,2,66.5,56.1,99.1,186.6,2695,121,3.54,3.07,9.3,110,5250,21,28
135,15040,gas,std,two,front,fwd,four,ohc,mpfi,hatchback,saab 99le,3,66.5,56.1,99.1,186.6,2707,121,2.54,2.07,9.3,110,5250,21,28
136,15510,gas,std,four,front,fwd,four,ohc,mpfi,sedan,saab 99gle,2,66.5,56.1,99.1,186.6,2758,121,3.54,3.07,9.3,110,5250,21,28
137,18150,gas,turbo,two,front,fwd,four,dohc,mpfi,hatchback,saab 99gle,3,66.5,56.1,99.1,186.6,2808,121,3.54,3.07,9,160,5500,19,26
138,18620,gas,turbo,four,front,fwd,four,dohc,mpfi,sedan,saab 99e,2,66.5,56.1,99.1,186.6,2847,121,3.54,3.07,9,160,5500,19,26
139,5118,gas,std,two,front,fwd,four,ohcf,2bbl,hatchback,subaru,2,63.4,53.7,93.7,156.9,2050,97,3.62,2.36,9,69,4900,31,36
140,7053,gas,std,two,front,fwd,four,ohcf,2bbl,hatchback,subaru dl,2,63.6,53.7,93.7,157.9,2120,108,3.62,2.64,8.7,73,4400,26,31
141,7603,gas,std,two,front,4wd,four,ohcf,2bbl,hatchback,subaru dl,2,63.8,55.7,93.3,157.3,2240,108,3.62,2.64,8.7,73,4400,26,31
142,7126,gas,std,four,front,fwd,four,ohcf,2bbl,sedan,subaru,0,65.4,52.5,97.2,172,2145,108,3.62,2.64,9.5,82,4800,32,37
143,7775,gas,std,four,front,fwd,four,ohcf,2bbl,sedan,subaru brz,0,65.4,52.5,97.2,172,2190,108,3.62,2.64,9.5,82,4400,28,33
144,9960,gas,std,four,front,fwd,four,ohcf,mpfi,sedan,subaru baja,0,65.4,52.5,97.2,172,2340,108,3.62,2.64,9,94,5200,26,32
145,9233,gas,std,four,front,4wd,four,ohcf,2bbl,sedan,subaru r1,0,65.4,54.3,97,172,2385,108,3.62,2.64,9,82,4800,24,25
146,11259,gas,turbo,four,front,4wd,four,ohcf,mpfi,sedan,subaru r2,0,65.4,54.3,97,172,2510,108,3.62,2.64,7.7,111,4800,24,29
147,7463,gas,std,four,front,fwd,four,ohcf,2bbl,wagon,subaru trezia,0,65.4,53,97,173.5,2290,108,3.62,2.64,9,82,4800,28,32
148,10198,gas,std,four,front,fwd,four,ohcf,mpfi,wagon,subaru tribeca,0,65.4,53,97,173.5,2455,108,3.62,2.64,9,94,5200,25,31
149,8013,gas,std,four,front,4wd,four,ohcf,2bbl,wagon,subaru dl,0,65.4,54.9,96.9,173.6,2420,108,3.62,2.64,9,82,4800,23,29
150,11694,gas,turbo,four,front,4wd,four,ohcf,mpfi,wagon,subaru dl,0,65.4,54.9,96.9,173.6,2650,108,3.62,2.64,7.7,111,4800,23,23
151,5348,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,toyota corona mark ii,1,63.6,54.5,95.7,158.7,1985,92,3.05,3.03,9,62,4800,35,39
152,6338,gas,std,two,front,fwd,four,ohc,2bbl,hatchback,toyota corona,1,63.6,54.5,95.7,158.7,2040,92,3.05,3.03,9,62,4800,31,38
153,6488,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,toyota corolla 1200,1,63.6,54.5,95.7,158.7,2015,92,3.05,3.03,9,62,4800,31,38
154,6918,gas,std,four,front,fwd,four,ohc,2bbl,wagon,toyota corona hardtop,0,63.6,59.1,95.7,169.7,2280,92,3.05,3.03,9,62,4800,31,37
155,7898,gas,std,four,front,4wd,four,ohc,2bbl,wagon,toyota corolla 1600 (sw),0,63.6,59.1,95.7,169.7,2290,92,3.05,3.03,9,62,4800,27,32
156,8778,gas,std,four,front,4wd,four,ohc,2bbl,wagon,toyota carina,0,63.6,59.1,95.7,169.7,3110,92,3.05,3.03,9,62,4800,27,32
157,6938,gas,std,four,front,fwd,four,ohc,2bbl,sedan,toyota mark ii,0,64.4,53,95.7,166.3,2081,98,3.19,3.03,9,70,4800,30,37
158,7198,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,toyota corolla 1200,0,64.4,52.8,95.7,166.3,2109,98,3.19,3.03,9,70,4800,30,37
159,7898,diesel,std,four,front,fwd,four,ohc,idi,sedan,toyota corona,0,64.4,53,95.7,166.3,2275,110,3.27,3.35,22.5,56,4500,34,36
160,7788,diesel,std,four,front,fwd,four,ohc,idi,hatchback,toyota corolla,0,64.4,52.8,95.7,166.3,2275,110,3.27,3.35,22.5,56,4500,38,47
161,7738,gas,std,four,front,fwd,four,ohc,2bbl,sedan,toyota corona,0,64.4,53,95.7,166.3,2094,98,3.19,3.03,9,70,4800,38,47
162,8358,gas,std,four,front,fwd,four,ohc,2bbl,hatchback,toyota corolla,0,64.4,52.8,95.7,166.3,2122,98,3.19,3.03,9,70,4800,28,34
